iteration,value
0,1321771.4505703123
1,1312772.4376875
2,1304020.6622578122
3,1295511.5300625
4,1287240.5228203123
5,1279203.1981874998
6,1271386.9828828122
7,1263800.7658828124
8,1256430.6079453123
9,1248160.9111874998
10,1241218.9480078123
11,1233402.2556328122
12,1225823.8585078125
13,1218478.9371328126
14,1211362.7479453124
15,1204470.6233203125
16,1197797.9715703123
17,1192215.1246874998
18,1186811.3165624999
19,1180706.8944374998
20,1174805.7553125
21,1169103.672
22,1163537.3255625
23,1158165.5068124998
24,1153707.6533203123
25,1148683.399875
26,1143841.8645703122
27,1139179.0303124997
28,1134690.9559453123
29,1130373.7762499996
30,1126813.5140624999
31,1122801.2915625
32,1118157.1464375001
33,1114455.7428046872
34,1110141.9742499997
35,1106001.2749921873
36,1099721.1606328122
37,1093643.8874999997
38,1087291.9530703123
39,1081788.5025703122
40,1075836.8655703124
41,1070090.3256328125
42,1066949.1141328122
43,1061906.6418046872
44,1056666.7058203123
45,1052133.6328593749
46,1047240.2031328125
47,1042524.119109375
48,1037980.6600078124
49,1035952.4739374997
50,1032110.5157578124
51,1027968.8158828123
52,1023983.5573828124
53,1020150.4994999999
54,1016683.6973203125
55,1013345.7907499999
56,1012016.0216953123
57,1008645.0697968748
58,1005332.7111328123
59,1002227.6332265625
60,997935.7827656248
61,993926.5502343749
62,991308.4808906248
63,987276.0138046875
64,983443.1648906248
65,980919.4045078125
66,977410.5227578122
67,974151.4949999999
68,970822.3815703122
69,968881.1218593747
70,965752.3401328124
71,963846.2394140624
72,961182.1857656247
73,958377.1629374996
74,955680.2827031249
75,953099.8334999997
76,951691.5052031248
77,949475.1677343749
78,947059.8828749999
79,943922.6628046874
80,940587.6133125
81,937391.8848046875
82,936153.9788203124
83,933149.4710624998
84,930951.6154453123
85,928429.7916093748
86,925847.4718828123
87,923287.1695312498
88,922250.5919296872
89,917836.3860468747
90,913197.7191796873
91,908773.8395624999
92,906631.3688203124
93,902173.1878124999
94,899027.2019531246
95,895871.3764218747
96,891928.9018828124
97,887951.727984375
98,884114.1079453122
99,882521.0689921873
100,879390.9708749999
101,876791.9969999999
102,873347.4338203125
103,870055.2994921874
104,866856.0347578125
105,863410.5550546873
106,863015.8848749999
107,861962.7177421873
108,858718.1514374998
109,855596.8816874998
110,852595.5926249999
111,850431.1427578123
112,848109.8149453124
113,847205.9617499998
114,844524.2812499998
115,842025.8334374998
116,839567.5519921873
117,837416.0034843748
118,835120.4169374997
119,832854.4288593748
120,832110.1150078123
121,829875.4493203124
122,827995.1220703123
123,825902.8477734374
124,824195.4598828123
125,822398.9873203123
126,820540.7430468749
127,820061.1668671875
128,819474.6502265623
129,818032.2159374999
130,816537.3614999999
131,814980.1550624998
132,813635.6248124999
133,812294.1950624997
134,811823.0489296874
135,810519.8674921874
136,809220.2242499999
137,808116.8084999998
138,807038.6103281248
139,805871.5857421873
140,805664.4041953122
141,804672.2256328124
142,803713.2602343748
143,802720.0484999998
144,801819.888609375
145,799049.2535156249
146,798942.7761328124
147,796153.8379921874
148,793501.9138124998
149,790959.741046875
150,788468.3104921873
151,786085.6741171875
152,784327.1674921873
153,780022.7268749999
154,779927.5592578123
155,775247.2751953125
156,770702.3414999999
157,766251.2070703123
158,761948.7766874998
159,757797.9273984374
160,755527.464703125
161,753081.3174375
162,748577.8935
163,744180.1176796876
164,739678.8745546874
165,735939.7679531251
166,732550.4118984374
167,729535.0050703124
168,728472.9084609373
169,726312.1940859376
170,722592.9699609375
171,719502.19846875
172,716207.3506406249
173,712613.1673828125
174,710052.5391328123
175,708415.1455781249
176,705231.1734609375
177,702581.1054609375
178,699415.4605781249
179,696381.4413984375
180,693562.2690234375
181,691489.7404453125
182,690988.6339453125
183,688487.8765781249
184,685791.6689531249
185,680720.8361484375
186,675732.0245625
187,671669.5150546875
188,669710.025140625
189,668737.3730624999
190,665352.6726796875
191,660906.0831796875
192,656520.2914921875
193,652471.7911171874
194,649245.7456171875
195,647532.3633046874
196,642516.501375
197,636664.807125
198,630990.1354921873
199,625628.9231718751
200,622820.7961874999
201,617954.7505078124
202,613669.4750390624
203,610490.1274453124
204,605678.8736953124
205,601071.5796328124
206,598539.9487499999
207,594066.605484375
208,590489.8801171875
209,588464.4436875001
210,584376.7995
211,580351.078265625
212,576677.4160078125
213,574264.2853828125
214,572029.0150078124
215,569035.1470781249
216,566767.7843906248
217,564780.6554062499
218,561605.6993203124
219,558385.990453125
220,556450.9600781249
221,553901.1207890625
222,550879.20140625
223,549254.072390625
224,546487.5392578124
225,543740.3393906249
226,541243.7376328126
227,539832.5296875
228,538138.4068828125
229,535620.6395156251
230,533991.4043203125
231,532400.8613906249
232,530309.2399453125
233,528843.9544453125
234,526591.175765625
235,524372.694890625
236,523037.1268828125
237,521002.0136953125
238,519268.8896718749
239,517385.81306250003
240,516225.1477499999
241,514458.7093828124
242,512765.3227499998
243,512005.09957031236
244,510634.0940625
245,509095.3473281249
246,508192.2911249999
247,507337.1971874999
248,505937.13187499996
249,505318.8133828125
250,504529.55880468746
251,501033.9905156248
252,497872.4311406248
253,494340.98814843746
254,491063.81821874983
255,488181.64816406247
256,484967.7187734374
257,483781.92215624993
258,481126.7696484374
259,478278.5216484374
260,475537.25664843747
261,473120.0985937499
262,468239.31928124995
263,465975.2442656249
264,463244.9047734374
265,460179.309375
266,457503.50545312493
267,453390.8772656249
268,449087.9407031249
269,445109.33257031254
270,442809.51975
271,438857.0190703125
272,435169.4703046875
273,432816.9851953125
274,429377.5627734374
275,426055.57446093747
276,424140.9284531249
277,420945.84625781246
278,417666.64078124997
279,415513.7602734375
280,412471.29909375
281,409312.03858593747
282,406307.2918359375
283,404925.7968281249
284,402034.16925
285,399391.56569531246
286,397744.62700781244
287,396139.2419531249
288,393684.727078125
289,392371.13376562495
290,390095.446640625
291,387919.3478906249
292,386563.2598125
293,384472.1424375
294,382479.353015625
295,380527.326
296,379523.4086953125
297,377614.90807031246
298,375863.8174453125
299,373388.1896953124
300,370024.3896328124
301,366974.19407812494
302,364847.18962499994
303,361743.01938281243
304,360060.79345312493
305,357711.95763281255
306,355441.2757031248
307,354154.4523984374
308,351160.83063281246
309,348282.901125
310,346580.84861718747
311,343868.7505078125
312,341924.9118749999
313,339948.02545312495
314,337476.9830625
315,335099.80694531254
316,332833.70362499997
317,330994.29262499994
318,329420.21688281244
319,327356.684578125
320,324930.5566875
321,322516.102078125
322,320178.74414062494
323,319051.901390625
324,318024.4310859374
325,315783.21164062497
326,313748.686828125
327,311687.55457031244
328,310384.1432812499
329,309236.15432812495
330,308126.025140625
331,306409.10069531243
332,304782.818203125
333,303014.11682812497
334,302193.41414062504
335,301128.7643437499
336,299621.6197031249
337,298126.72497656255
338,296774.55126562493
339,295472.823328125
340,295052.39388281247
341,294253.74963281245
342,293283.30733593745
343,292163.0340234374
344,291102.079640625
345,290628.94957031246
346,290080.6745625
347,289178.6715703124
348,288305.52243749995
349,287581.757203125
350,286788.26123437495
351,286649.81092968746
352,286235.8667578124
353,285715.8079453124
354,285145.11457031243
355,284527.83255468745
356,284286.78899999993
357,283476.404953125
358,282914.6243203125
359,280900.8481640625
360,279269.2586953124
361,278798.68139062496
362,276994.826015625
363,275328.72907031246
364,273736.1278828125
365,272332.9806328125
366,270859.5033046875
367,269361.3999375
368,268767.1693125
369,268128.36056249996
370,266618.6185078125
371,265252.83855468745
372,263874.51942187495
373,262486.6002421875
374,262002.75510937496
375,260707.28913281247
376,259558.500234375
377,258475.78870312497
378,257335.91205468756
379,256229.752640625
380,255240.54288281244
381,254983.15905468742
382,253908.83025000003
383,252808.88723437503
384,251869.58388281247
385,250911.47489062493
386,249947.1096328125
387,249615.29376562499
388,248866.38562499997
389,247672.36743749995
390,246553.7134921875
391,245387.75674218748
392,244257.81342187495
393,244057.03424999994
394,242985.70856249993
395,241905.6315
396,240963.72138281245
397,239537.89068749998
398,238222.82868749998
399,238108.70024999994
400,236857.80480468748
401,235676.26237499993
402,234518.604890625
403,233443.6780078124
404,233358.48007031245
405,233276.18350781244
406,232244.7643125
407,231285.29231249992
408,230335.13917968742
409,227114.44635937497
410,224841.00979687492
411,221707.71829687495
412,220797.12248437494
413,217845.64687499995
414,214969.076859375
415,212676.91811718745
416,210589.137984375
417,207995.3336953125
418,205445.27474999998
419,204802.709203125
420,202422.0139453125
421,200557.28425781248
422,198341.5135078125
423,196165.33143749996
424,194040.96637499996
425,193577.4679921875
426,191916.1524375
427,189989.20082812497
428,188093.4012421875
429,186286.54057031247
430,184527.8966953125
431,183120.13174218748
432,183081.38899218748
433,181427.29544531245
434,179831.27130468746
435,178293.74744531245
436,177052.32576562493
437,175585.69631249996
438,175353.23144531244
439,173965.5326953125
440,172823.45786718745
441,171702.0557578125
442,170470.88919140623
443,169258.322109375
444,168103.18149609372
445,168077.8855546875
446,166984.96644140623
447,165475.73475
448,164031.49719140626
449,162781.4405390625
450,161956.31698828124
451,161440.366921875
452,160164.9445429687
453,158954.66405859368
454,157895.11712109373
455,156776.6275664062
456,156684.83276953123
457,155623.29387890623
458,154688.56062890624
459,153796.72869140623
460,152868.14532421873
461,152208.84350390622
462,151916.98844531248
463,151029.03427734372
464,150183.02320312496
465,149137.19651953122
466,148202.34757031247
467,147308.23719140622
468,146882.33831249998
469,146214.70006640622
470,145427.78376562498
471,144659.23734374996
472,143911.1820234375
473,143598.7022695312
474,142934.89274999997
475,142409.2615664062
476,141932.611125
477,141373.7605195312
478,140833.67744531244
479,140604.16489453122
480,140195.58883593747
481,139529.2278867187
482,138878.1558984375
483,138268.67733984374
484,137953.27434374994
485,137415.00195703123
486,136954.88212499997
487,136489.79619140623
488,136038.29969531245
489,135804.14764453124
490,135415.10439843748
491,135076.5499570312
492,134769.71102343747
493,134483.66194921872
494,134332.52456249995
495,134054.05981640625
496,133794.9460546875
497,133573.33880859372
498,133468.76200781245
499,133262.25331640622
500,133077.36262499998
