iteration,value
0,18.802067812500006
1,16.67533343749999
2,14.671962812499988
3,12.78842343749999
4,11.021257812499979
5,9.36708343749999
6,7.822592812499984
7,6.384553437499985
8,5.04980781249998
9,3.815273437499981
10,2.6779428124999898
11,1.6348834374999819
12,0.6832378124999821
13,-0.21967656250001683
14,-1.0482171875000177
15,-1.8367509375000197
16,-2.5663571875000115
17,-3.4180465625000225
18,-4.245077187500018
19,-5.014256562500013
20,-5.726987187500015
21,-6.384596562500015
22,-6.988337187500018
23,-7.539386562500015
24,-8.186361562500021
25,-8.790076562500014
26,-9.350831562500012
27,-10.532265937499998
28,-11.64961656250001
29,-12.78317031250002
30,-14.067016562500005
31,-15.275900312500013
32,-16.66436656250002
33,-18.128599687500003
34,-19.505596562500006
35,-20.79659468750001
36,-22.002756562500007
37,-23.73686031250002
38,-25.36867156250002
39,-26.899390312500014
40,-28.330141562500025
41,-29.661975312500015
42,-30.89586656250002
43,-32.03271531250002
44,-33.86567656250001
45,-35.57891531250003
46,-37.17426156250002
47,-38.71383593750003
48,-40.605146562500025
49,-42.81152093749999
50,-44.887706562500014
51,-46.83597593750001
52,-48.65852656250002
53,-51.118430937500015
54,-53.445806562500024
55,-55.64316593750002
56,-57.8157215625
57,-59.86996093750001
58,-61.80832156250003
59,-63.633165937499996
60,-65.5248615625
61,-67.29986093750001
62,-68.9612615625
63,-70.51208593750002
64,-71.9552815625
65,-73.2937209375
66,-74.96205156250001
67,-76.51562093750002
68,-77.95730156249999
69,-79.2898909375
70,-80.51611156250001
71,-81.63861093750002
72,-83.27165218750002
73,-84.78648593750002
74,-86.18579718750001
75,-87.49783156250002
76,-88.69991218750002
77,-89.82699656250001
78,-91.6665978125
79,-93.52372593750002
80,-95.2633778125
81,-96.8875859375
82,-98.50007218750002
83,-100.00956093750001
84,-101.41806218750001
85,-103.42661593750002
86,-105.36581718750001
87,-107.20098593750004
88,-108.93762687500002
89,-110.5818359375
90,-112.135431875
91,-113.60016593750001
92,-115.10781125000001
93,-116.52399593750003
94,-117.91301187500002
95,-119.2174709375
96,-120.49151187499999
97,-121.69464593750001
98,-122.827836875
99,-123.89198093750001
100,-124.887906875
101,-125.8163759375
102,-126.67808187500002
103,-127.47742125000002
104,-128.220236875
105,-128.91060093750002
106,-129.55319187499998
107,-130.16777093750002
108,-130.747536875
109,-131.29236593750002
110,-131.80208187500003
111,-132.27645593749997
112,-132.7189771875
113,-133.13459593750002
114,-134.2169971875
115,-135.2511959375
116,-136.23828718750002
117,-137.17932093750005
118,-138.07530218750003
119,-138.92719093750003
120,-139.73590218750005
121,-140.50230593749998
122,-141.23036187500003
123,-141.98837156250002
124,-142.71575687500004
125,-143.41201156250003
126,-144.07659187500002
127,-144.70891656250006
128,-145.30836687500005
129,-145.87428656250003
130,-146.405981875
131,-146.90272156250003
132,-147.3775775
133,-147.81802156250006
134,-148.22745718750002
135,-148.60859156250004
136,-149.00289218750004
137,-149.3808165625
138,-149.74223718750005
139,-150.08699656250002
140,-150.4149071875
141,-150.7257515625
142,-151.01928218750004
143,-151.29522156250005
144,-151.55326218750002
145,-151.84035718750002
146,-152.1132621875
147,-152.37166218750002
148,-152.61521218750005
149,-152.84353718750003
150,-153.05623218750003
151,-153.25286218750003
152,-153.4329621875
153,-153.60024687500004
154,-153.76087687500004
155,-153.91852187500004
156,-154.07262687500003
157,-154.22262187500004
158,-154.36792187500004
159,-154.507926875
160,-154.64202187500004
161,-154.76957687500004
162,-154.88994687500002
163,-155.00247187500003
164,-155.10647687500006
165,-155.20504218750003
166,-155.30274687500005
167,-155.39931718750003
168,-155.49447187500004
169,-155.58792218750006
170,-155.67937187500007
171,-155.76851718750004
172,-155.85504687500006
173,-155.93864218750005
174,-156.01897687500005
175,-156.09571718750004
176,-156.16852187500004
177,-156.23704218750004
178,-156.30092187500003
179,-156.35979718750005
180,-156.41329687500007
181,-156.46104218750006
182,-156.50264687500004
183,-156.53771718750005
184,-156.56585187500005
185,-156.58664218750005
186,-156.59967187500007
187,-156.60451718750005
188,-156.62699687500003
189,-156.65344218750005
190,-156.68382687500002
191,-156.71811718750004
192,-156.75627187500004
193,-156.79824218750005
194,-156.84397187500002
195,-156.89339718750003
196,-156.94644687500005
197,-157.00304218750003
198,-157.063096875
199,-157.12651718750004
200,-157.19320187500003
201,-157.26304218750005
202,-157.33592187500003
203,-157.41171718750007
204,-157.49029687500007
205,-157.57152218750002
206,-157.65524687500005
207,-157.74131718750004
208,-157.82957187500006
209,-157.91984218750002
210,-158.01195187500002
211,-158.10571718750003
212,-158.20094687500006
213,-158.29744218750002
214,-158.39499687500006
215,-158.49339718750002
216,-158.59242187500004
217,-158.69184218750007
218,-158.79142187500005
219,-158.89091718750007
220,-158.99007687500003
221,-159.08864218750006
222,-159.18634687500003
223,-159.28291718750006
224,-159.37807187500002
225,-159.47152218750003
226,-159.56297187500004
227,-159.65211718750007
228,-159.73864687500003
229,-159.82224218750002
230,-159.90257687500002
231,-159.97931718750004
232,-160.05212187500007
233,-160.12064218750007
234,-160.18452187500003
235,-160.24339718750002
236,-160.29689687500004
237,-160.34464218750003
238,-160.38624687500004
239,-160.42131718750005
240,-160.44945187500002
241,-160.47024218750002
242,-160.48327187500004
243,-160.48811718750002
