iteration,value
0,-140.53466911201426
1,-253.8694283026362
2,-263.4940955392378
3,-312.3777227055001
4,-365.21119671759254
5,-375.25764457503453
6,-375.25764457503453
7,-389.0944015969465
8,-389.0944015969465
9,-393.1465633208183
10,-393.51588569906215
11,-396.98266315924803
12,-436.4102617938703
13,-463.5559948576253
14,-463.5559948576253
15,-465.0238691785613
16,-491.5755959402821
17,-514.6103041171737
18,-541.2127732656542
19,-541.2127732656542
20,-548.2964560503073
21,-548.2964560503073
22,-554.4231561053107
23,-554.4231561053107
24,-554.445675105939
25,-554.445675105939
26,-554.445675105939
27,-576.0390281397742
28,-576.0390281397742
29,-589.655591748256
30,-605.9652574880952
31,-605.9652574880952
32,-605.9652574880952
33,-605.9652574880952
34,-605.9652574880952
35,-623.6439752630839
36,-638.3905339527117
37,-640.5550043033559
38,-640.5550043033559
39,-651.6608911654483
40,-652.3765812653412
41,-727.5825159527502
42,-727.7120769208263
43,-727.7120769208263
44,-727.7120769208263
45,-727.7120769208263
46,-727.7120769208263
47,-727.7276914150009
48,-740.4646959007507
49,-743.0742661367115
50,-743.0742661367115
51,-743.0742661367115
52,-743.0742661367115
53,-743.0742661367115
54,-743.0742661367115
55,-775.180283204784
56,-775.180283204784
57,-775.180283204784
58,-775.180283204784
59,-796.4366905519266
60,-849.5203063397541
61,-855.182935535186
62,-862.9393013153724
63,-862.9393013153724
64,-896.8431751647393
65,-896.8431751647393
66,-896.8431751647393
67,-896.8431751647393
68,-900.6699421789077
69,-900.6699421789077
70,-900.6699421789077
71,-900.6699421789077
72,-900.6699421789077
73,-900.6699421789077
74,-902.1735275575236
75,-913.7670299420315
76,-913.7670299420315
77,-913.7670299420315
78,-913.7670299420315
79,-913.7670299420315
80,-922.332889776869
81,-922.332889776869
82,-926.1704866429561
83,-954.794803902055
84,-954.794803902055
85,-954.794803902055
86,-954.794803902055
87,-971.1462800289185
88,-978.8387488072461
89,-978.8387488072461
90,-978.8387488072461
91,-978.8387488072461
92,-978.8387488072461
93,-988.5679814483732
94,-988.5679814483732
95,-991.2233071296874
96,-997.686070225629
97,-997.686070225629
98,-999.2427010564579
99,-1003.5596526046025
100,-1003.6318498387176
101,-1003.6318498387176
102,-1003.6318498387176
103,-1063.8885272809546
104,-1109.4719828066063
105,-1109.4719828066063
106,-1109.4719828066063
107,-1109.4719828066063
108,-1109.4719828066063
109,-1143.4395760023428
110,-1145.0404158708477
111,-1171.9339363580907
112,-1180.683658249929
113,-1180.683658249929
114,-1180.9015144721798
115,-1180.9015144721798
116,-1180.9015144721798
117,-1180.9015144721798
118,-1180.9015144721798
119,-1180.9015144721798
120,-1180.9015144721798
121,-1180.9015144721798
122,-1180.9015144721798
123,-1180.9015144721798
124,-1180.9015144721798
125,-1184.3179383954853
126,-1184.3179383954853
127,-1217.5046685327477
128,-1217.5046685327477
129,-1217.5046685327477
130,-1217.5046685327477
131,-1217.5046685327477
132,-1217.5046685327477
133,-1229.4215131951664
134,-1229.4215131951664
135,-1229.4215131951664
136,-1229.4215131951664
137,-1229.4215131951664
138,-1229.4215131951664
139,-1229.4215131951664
140,-1229.4215131951664
141,-1229.4215131951664
142,-1229.4215131951664
143,-1275.6415822523638
144,-1299.4377152455047
145,-1301.737047302559
146,-1301.737047302559
147,-1310.149515201505
148,-1310.149515201505
149,-1310.149515201505
150,-1310.149515201505
151,-1310.149515201505
152,-1310.149515201505
153,-1310.149515201505
154,-1316.7464975269481
155,-1316.7464975269481
156,-1320.704560694673
157,-1335.696992839504
158,-1335.696992839504
159,-1335.8669311729686
160,-1335.8669311729686
161,-1335.8669311729686
162,-1335.8669311729686
163,-1335.8669311729686
164,-1335.8669311729686
165,-1335.8669311729686
166,-1335.8669311729686
167,-1354.3035879796134
168,-1354.3035879796134
169,-1354.3035879796134
170,-1369.6087932175765
171,-1405.1294052255441
172,-1405.1294052255441
173,-1405.1294052255441
174,-1412.2820368257028
175,-1432.2336547061157
176,-1451.8769442616074
177,-1451.8769442616074
178,-1454.2984643142177
179,-1454.2984643142177
180,-1454.2984643142177
181,-1454.2984643142177
182,-1454.2984643142177
183,-1454.2984643142177
184,-1454.2984643142177
185,-1454.2984643142177
186,-1471.7047417352242
187,-1471.7047417352242
188,-1471.7047417352242
189,-1472.9684090179912
190,-1472.9684090179912
191,-1472.9684090179912
192,-1472.9684090179912
193,-1472.9684090179912
194,-1474.4279776162969
195,-1474.4279776162969
196,-1474.4279776162969
197,-1474.4279776162969
198,-1474.4279776162969
199,-1474.4279776162969
200,-1474.4279776162969
201,-1476.935250762276
202,-1476.935250762276
203,-1476.935250762276
204,-1476.935250762276
205,-1490.3278985218753
206,-1490.3278985218753
207,-1490.3278985218753
208,-1490.3278985218753
209,-1490.3278985218753
210,-1490.3278985218753
211,-1490.3278985218753
212,-1490.3278985218753
213,-1490.3278985218753
214,-1490.3278985218753
215,-1490.3278985218753
216,-1490.3278985218753
217,-1490.3278985218753
218,-1490.3278985218753
219,-1490.3278985218753
220,-1490.3278985218753
221,-1490.3278985218753
222,-1490.3278985218753
223,-1514.4073921856111
224,-1523.8249515395164
225,-1524.1401859904831
226,-1526.2478923897318
227,-1526.2478923897318
228,-1526.2478923897318
229,-1526.2478923897318
230,-1545.4105865399997
231,-1545.4105865399997
232,-1566.5453136944786
233,-1566.5453136944786
234,-1566.5453136944786
235,-1584.532360767494
236,-1584.532360767494
237,-1631.970913704866
238,-1632.9072419019017
239,-1632.9072419019017
240,-1632.9072419019017
241,-1632.9072419019017
242,-1632.9072419019017
243,-1632.9072419019017
244,-1632.9072419019017
245,-1632.9072419019017
246,-1632.9072419019017
247,-1648.6360019286753
248,-1676.630381586817
249,-1676.630381586817
250,-1676.630381586817
251,-1676.630381586817
252,-1676.630381586817
253,-1676.630381586817
254,-1676.630381586817
255,-1676.630381586817
256,-1676.630381586817
257,-1676.630381586817
258,-1676.630381586817
259,-1676.630381586817
260,-1676.630381586817
261,-1676.630381586817
262,-1676.630381586817
263,-1676.630381586817
264,-1676.630381586817
265,-1676.630381586817
266,-1676.630381586817
267,-1676.630381586817
268,-1700.1824015451227
269,-1700.1824015451227
270,-1718.4384787082156
271,-1718.4384787082156
272,-1718.4384787082156
273,-1718.4384787082156
274,-1718.4384787082156
275,-1718.4384787082156
276,-1718.4384787082156
277,-1718.4384787082156
278,-1718.4384787082156
279,-1718.4384787082156
280,-1718.4384787082156
281,-1718.4384787082156
282,-1718.4384787082156
283,-1718.4384787082156
284,-1718.4384787082156
285,-1718.4384787082156
286,-1718.4384787082156
287,-1718.4384787082156
288,-1718.4384787082156
289,-1718.4384787082156
290,-1718.4384787082156
291,-1718.4384787082156
292,-1718.4384787082156
293,-1718.4384787082156
294,-1718.4384787082156
295,-1718.4384787082156
296,-1718.4384787082156
297,-1743.3951199381158
298,-1743.3951199381158
299,-1743.3951199381158
300,-1743.3951199381158
301,-1752.1282673585824
302,-1763.0334510870719
303,-1817.4197886947004
304,-1817.4197886947004
305,-1817.4197886947004
306,-1817.4197886947004
307,-1817.4197886947004
308,-1842.2870879159495
309,-1842.2870879159495
310,-1842.2870879159495
311,-1842.2870879159495
312,-1842.2870879159495
313,-1842.2870879159495
314,-1842.2870879159495
315,-1842.2870879159495
316,-1842.2870879159495
317,-1847.763482929907
318,-1880.0304122554037
319,-1880.0304122554037
320,-1880.0304122554037
321,-1880.0304122554037
322,-1882.3715918422254
323,-1882.3715918422254
324,-1882.3715918422254
325,-1882.3715918422254
326,-1882.8747447130359
327,-1882.8747447130359
328,-1882.8747447130359
329,-1882.8747447130359
330,-1882.8747447130359
331,-1882.8747447130359
332,-1882.8747447130359
333,-1892.7733335361038
334,-1892.7733335361038
335,-1892.7733335361038
336,-1892.7733335361038
337,-1892.7733335361038
338,-1892.7733335361038
339,-1892.7733335361038
340,-1892.7733335361038
341,-1892.7733335361038
342,-1892.7733335361038
