iteration,value
0,-107.79606171001849
1,-185.2525021799485
2,-220.46349643539202
3,-269.9651185400679
4,-370.70030301171295
5,-377.8349616478266
6,-377.8349616478266
7,-394.4108903656189
8,-394.4108903656189
9,-403.84532349072026
10,-403.84532349072026
11,-453.5220749099982
12,-494.8133567413267
13,-506.3713931547578
14,-544.7148252255381
15,-544.7148252255381
16,-573.6665555667411
17,-573.6665555667411
18,-586.6423638776776
19,-586.6423638776776
20,-586.6423638776776
21,-586.6423638776776
22,-586.6423638776776
23,-586.6423638776776
24,-588.5381845748383
25,-588.5381845748383
26,-588.5381845748383
27,-588.5381845748383
28,-589.0890024577906
29,-610.208773132885
30,-610.208773132885
31,-657.2460604337059
32,-657.2460604337059
33,-658.8633053294951
34,-658.8633053294951
35,-658.8633053294951
36,-658.8633053294951
37,-658.8633053294951
38,-709.6334382346046
39,-709.6334382346046
40,-757.7399499332748
41,-773.3492595749785
42,-788.389318166494
43,-789.1636728379834
44,-793.7585009183289
45,-793.7585009183289
46,-794.2337670198696
47,-794.2337670198696
48,-811.9526423800297
49,-811.9526423800297
50,-811.9526423800297
51,-811.9526423800297
52,-811.9526423800297
53,-811.9526423800297
54,-811.9526423800297
55,-812.2119779510514
56,-812.2119779510514
57,-812.2119779510514
58,-833.703591536649
59,-833.703591536649
60,-837.90719588169
61,-837.90719588169
62,-837.90719588169
63,-846.1618672420743
64,-855.3184006626716
65,-855.3184006626716
66,-855.3184006626716
67,-855.3184006626716
68,-855.3184006626716
69,-899.6739776238235
70,-899.6739776238235
71,-900.7494157274244
72,-900.7494157274244
73,-900.7494157274244
74,-900.7494157274244
75,-900.7494157274244
76,-900.7494157274244
77,-900.7494157274244
78,-900.7494157274244
79,-900.7494157274244
80,-900.7494157274244
81,-901.6486929532888
82,-901.6486929532888
83,-901.6486929532888
84,-942.0885154688674
85,-963.407338280608
86,-963.407338280608
87,-963.407338280608
88,-963.407338280608
89,-963.407338280608
90,-963.407338280608
91,-963.407338280608
92,-964.5803119213055
93,-988.5067139320894
94,-988.5067139320894
95,-988.5067139320894
96,-998.9531637917323
97,-998.9531637917323
98,-998.9531637917323
99,-998.9531637917323
100,-998.9531637917323
101,-998.9531637917323
102,-998.9531637917323
103,-998.9531637917323
104,-998.9531637917323
105,-998.9531637917323
106,-998.9531637917323
107,-998.9531637917323
108,-998.9531637917323
109,-998.9531637917323
110,-998.9531637917323
111,-998.9531637917323
112,-998.9531637917323
113,-998.9531637917323
114,-998.9531637917323
115,-1005.3142681461035
116,-1048.139432052441
117,-1048.139432052441
118,-1048.139432052441
119,-1048.139432052441
120,-1048.139432052441
121,-1048.139432052441
122,-1048.139432052441
123,-1048.139432052441
124,-1075.792480370119
125,-1075.792480370119
126,-1075.792480370119
127,-1075.792480370119
128,-1084.8229016532562
129,-1084.8229016532562
130,-1086.002917149817
131,-1086.002917149817
132,-1086.002917149817
133,-1086.002917149817
134,-1086.002917149817
135,-1106.983547094062
136,-1106.983547094062
137,-1117.9899954262485
138,-1117.9899954262485
139,-1117.9899954262485
140,-1117.9899954262485
141,-1117.9899954262485
142,-1117.9899954262485
143,-1117.9899954262485
144,-1117.9899954262485
145,-1179.7953193694984
146,-1179.7953193694984
147,-1179.7953193694984
148,-1179.7953193694984
149,-1179.7953193694984
150,-1179.7953193694984
151,-1179.7953193694984
152,-1179.7953193694984
153,-1179.7953193694984
154,-1179.7953193694984
155,-1179.7953193694984
156,-1179.7953193694984
157,-1179.7953193694984
158,-1179.7953193694984
159,-1181.7551462573106
160,-1196.5684815973486
161,-1196.5684815973486
162,-1196.5684815973486
163,-1196.5684815973486
164,-1196.5684815973486
165,-1204.2275536291165
166,-1229.8944241779361
167,-1229.8944241779361
168,-1229.8944241779361
169,-1229.8944241779361
170,-1229.8944241779361
171,-1229.8944241779361
172,-1255.2537646432277
173,-1255.2537646432277
174,-1255.2537646432277
175,-1255.2537646432277
176,-1255.2537646432277
177,-1255.2537646432277
178,-1255.2537646432277
179,-1255.2537646432277
180,-1256.9358905960603
181,-1256.9358905960603
182,-1256.9358905960603
183,-1256.9358905960603
184,-1307.5594903997062
185,-1307.5594903997062
186,-1307.5594903997062
187,-1307.5594903997062
188,-1307.5594903997062
189,-1307.5594903997062
190,-1347.6975982788651
191,-1347.6975982788651
192,-1347.6975982788651
193,-1347.6975982788651
194,-1347.6975982788651
195,-1347.6975982788651
196,-1347.6975982788651
197,-1348.2713089488338
198,-1348.2713089488338
199,-1348.2713089488338
200,-1367.6835731632534
201,-1367.6835731632534
202,-1367.6835731632534
203,-1367.6835731632534
204,-1367.6835731632534
205,-1367.6835731632534
206,-1367.6835731632534
207,-1367.6835731632534
208,-1367.6835731632534
209,-1367.6835731632534
210,-1367.6835731632534
211,-1396.7577421439587
212,-1405.5065091368294
213,-1405.5065091368294
