iteration,value
0,-38.006136250000026
1,-44.98763437500003
2,-47.06559531250004
3,-50.448489687500036
4,-61.84367406250001
5,-69.96573062500002
6,-76.7551003125
7,-76.88427531250002
8,-76.88427531250002
9,-76.88427531250002
10,-80.66451125
11,-80.66451125
12,-85.59235656250003
13,-88.45781093750001
14,-88.45781093750001
15,-88.45781093750001
16,-88.7794065625
17,-88.7794065625
18,-88.7794065625
19,-88.7794065625
20,-88.7794065625
21,-88.7794065625
22,-88.7794065625
23,-91.3641315625
24,-92.5066421875
25,-92.5066421875
26,-92.70080656250002
27,-92.70080656250002
28,-92.70080656250002
29,-92.70080656250002
30,-92.70080656250002
31,-92.70080656250002
32,-92.70080656250002
33,-92.70080656250002
34,-92.70080656250002
35,-92.70080656250002
36,-92.70080656250002
37,-92.70080656250002
38,-92.70080656250002
39,-92.70080656250002
40,-92.70080656250002
41,-92.70080656250002
42,-92.70080656250002
43,-92.70080656250002
44,-92.70080656250002
45,-92.70080656250002
46,-92.70080656250002
47,-92.70080656250002
48,-92.70080656250002
49,-92.70080656250002
50,-92.70080656250002
51,-92.70080656250002
52,-92.70080656250002
53,-92.70080656250002
54,-92.70080656250002
55,-92.70080656250002
56,-92.70080656250002
57,-92.70080656250002
58,-92.70080656250002
59,-92.70080656250002
60,-92.70080656250002
61,-92.70080656250002
62,-92.70080656250002
63,-92.70080656250002
64,-92.70080656250002
65,-92.70080656250002
66,-92.70080656250002
67,-92.70080656250002
68,-92.70080656250002
69,-92.70080656250002
70,-92.70080656250002
71,-92.70080656250002
72,-92.70080656250002
73,-92.70080656250002
74,-92.70080656250002
75,-92.70080656250002
76,-92.70080656250002
77,-92.70080656250002
78,-92.70080656250002
79,-92.70080656250002
80,-92.70080656250002
81,-92.70080656250002
82,-92.70080656250002
83,-92.70080656250002
84,-92.70080656250002
85,-92.70080656250002
86,-92.70080656250002
87,-92.70080656250002
88,-92.70080656250002
89,-92.70080656250002
90,-92.70080656250002
91,-92.70080656250002
92,-92.70080656250002
93,-92.70080656250002
94,-92.70080656250002
95,-92.70080656250002
96,-92.70080656250002
97,-92.70080656250002
98,-92.70080656250002
99,-92.70080656250002
100,-92.70080656250002
101,-92.70080656250002
102,-92.70080656250002
103,-94.1028521875
104,-94.1028521875
105,-94.1028521875
106,-94.1028521875
107,-94.1028521875
108,-94.1028521875
109,-94.1028521875
110,-94.1028521875
111,-94.1028521875
112,-94.1028521875
113,-94.1028521875
114,-94.1028521875
115,-94.1028521875
116,-94.1028521875
117,-94.1028521875
118,-94.1028521875
119,-94.1028521875
120,-94.1028521875
121,-94.1028521875
122,-94.1028521875
123,-94.1028521875
124,-94.1028521875
125,-94.1028521875
126,-94.1028521875
127,-94.1028521875
128,-94.1028521875
129,-94.1028521875
130,-94.1028521875
131,-94.1028521875
132,-94.1028521875
133,-94.1028521875
134,-94.1028521875
135,-94.1028521875
136,-94.1028521875
137,-94.1028521875
138,-94.1028521875
139,-94.1028521875
140,-94.1028521875
141,-94.1028521875
142,-94.1028521875
143,-94.1028521875
144,-94.1028521875
145,-94.1028521875
146,-94.1028521875
147,-94.1028521875
148,-94.1028521875
149,-94.1028521875
150,-94.1028521875
151,-94.1028521875
152,-94.1028521875
153,-94.1028521875
154,-94.1028521875
155,-94.1028521875
156,-94.1028521875
157,-94.1028521875
158,-94.1028521875
159,-94.1028521875
160,-94.1028521875
161,-94.1028521875
162,-94.1028521875
163,-94.1028521875
164,-94.1028521875
165,-94.1028521875
166,-94.1028521875
167,-94.1028521875
168,-94.1028521875
169,-94.1028521875
170,-94.1028521875
171,-94.1028521875
172,-94.1028521875
173,-94.1028521875
174,-94.1028521875
175,-94.1028521875
176,-94.1028521875
177,-94.1028521875
178,-94.1028521875
179,-94.1028521875
180,-94.1028521875
181,-94.1028521875
182,-94.1028521875
183,-94.1028521875
184,-94.1028521875
185,-94.1028521875
186,-94.1028521875
187,-94.1028521875
188,-94.1028521875
189,-94.1028521875
190,-94.1028521875
191,-94.1028521875
192,-94.1028521875
193,-94.1028521875
194,-94.1028521875
195,-94.1028521875
196,-94.1028521875
197,-94.1028521875
198,-94.1028521875
199,-94.1028521875
200,-94.1028521875
201,-94.1028521875
202,-94.1028521875
203,-94.1028521875
204,-94.1028521875
205,-94.1028521875
206,-94.1028521875
207,-94.1028521875
208,-94.1028521875
209,-94.1028521875
210,-94.1028521875
211,-94.1028521875
212,-94.1028521875
213,-94.1028521875
214,-94.1028521875
215,-94.1028521875
216,-94.1028521875
217,-94.1028521875
218,-94.1028521875
219,-94.1028521875
220,-94.1028521875
221,-94.1028521875
222,-94.1028521875
223,-94.1028521875
224,-94.1028521875
225,-94.1028521875
226,-94.1028521875
227,-94.1028521875
228,-94.1028521875
229,-94.1028521875
230,-94.1028521875
231,-94.1028521875
232,-94.1028521875
233,-94.1028521875
234,-94.1028521875
235,-94.1028521875
